Specialty,Day,BedsAvailable,BedsUsed
2,1,5,5
2,2,5,5
2,3,5,5
2,4,5,5
2,5,5,5
2,6,5,5
2,7,5,5
3,1,15,11
3,2,18,18
3,3,18,18
3,4,18,18
3,5,18,18
3,6,28,18
3,7,28,18
1,1,4,0
1,2,6,0
1,3,6,0
1,4,6,5
1,5,6,5
1,6,15,5
1,7,15,5
4,1,3,3
4,2,6,3
4,3,9,3
4,4,10,3
4,5,15,3
4,6,20,3
4,7,20,3
2,8,5,5
2,9,5,5
2,10,5,2
2,11,5,0
2,12,5,0
2,13,5,0
2,14,5,0
3,8,28,18
3,9,28,14
3,10,28,11
3,11,28,8
3,12,28,7
3,13,28,0
3,14,28,0
1,8,15,5
1,9,15,5
1,10,15,5
1,11,15,5
1,12,15,4
1,13,15,0
1,14,15,0
4,8,20,3
4,9,20,3
4,10,20,3
4,11,20,3
4,12,20,2
4,13,20,0
4,14,20,0
2,-7,0,0
2,-6,0,0
2,-5,5,0
2,-4,5,0
2,-3,5,0
2,-2,5,0
2,-1,5,0
3,-7,5,0
3,-6,0,0
3,-5,1,0
3,-4,5,0
3,-3,7,0
3,-2,15,4
3,-1,15,7
1,-7,12,0
1,-6,13,0
1,-5,13,0
1,-4,4,0
1,-3,4,0
1,-2,4,0
1,-1,4,0
4,-7,0,0
4,-6,0,0
4,-5,1,0
4,-4,1,0
4,-3,3,0
4,-2,3,1
4,-1,3,3
