Specialty,Day,BedsAvailable,BedsUsed
2,1,5,5
2,2,5,5
2,3,5,5
2,4,5,5
2,5,5,5
2,6,5,5
2,7,5,5
3,1,5,5
3,2,15,13
3,3,18,13
3,4,18,13
3,5,19,13
3,6,28,13
3,7,28,13
1,1,9,4
1,2,9,4
1,3,9,4
1,4,9,5
1,5,9,5
1,6,15,5
1,7,15,5
4,1,10,10
4,2,15,10
4,3,17,10
4,4,17,10
4,5,17,10
4,6,20,10
4,7,20,10
2,8,5,5
2,9,5,5
2,10,5,0
2,11,5,0
2,12,5,0
2,13,5,0
2,14,5,0
3,8,28,12
3,9,28,9
3,10,28,9
3,11,28,9
3,12,28,8
3,13,28,0
3,14,28,0
1,8,15,5
1,9,15,1
1,10,15,1
1,11,15,1
1,12,15,1
1,13,15,0
1,14,15,0
4,8,20,10
4,9,20,10
4,10,20,5
4,11,20,5
4,12,20,3
4,13,20,0
4,14,20,0
2,-7,0,0
2,-6,0,0
2,-5,3,0
2,-4,5,0
2,-3,5,0
2,-2,5,0
2,-1,5,0
3,-7,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,5,4
3,-1,5,4
1,-7,8,0
1,-6,8,0
1,-5,10,0
1,-4,4,0
1,-3,5,0
1,-2,9,0
1,-1,9,0
4,-7,0,0
4,-6,3,0
4,-5,7,0
4,-4,7,5
4,-3,8,5
4,-2,10,7
4,-1,10,10
