Specialty,Day,BedsAvailable,BedsUsed
1,1,10,6
1,2,13,6
1,3,13,6
1,4,14,6
1,5,15,6
1,6,15,6
1,7,15,6
3,1,13,0
3,2,13,0
3,3,13,0
3,4,13,0
3,5,13,0
3,6,13,0
3,7,13,0
5,1,12,0
5,2,12,0
5,3,12,0
5,4,12,0
5,5,12,0
5,6,12,0
5,7,12,0
7,1,16,0
7,2,17,0
7,3,17,0
7,4,17,0
7,5,17,0
7,6,18,0
7,7,18,0
1,8,15,4
1,9,15,3
1,10,15,2
1,11,15,2
1,12,15,1
1,13,15,0
1,14,15,0
3,8,13,0
3,9,13,0
3,10,13,0
3,11,13,0
3,12,13,0
3,13,13,0
3,14,13,0
5,8,12,0
5,9,12,0
5,10,12,0
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,0
7,9,18,0
7,10,18,0
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,1,1
1,-3,4,4
1,-2,6,6
1,-1,7,6
3,-7,10,0
3,-6,11,0
3,-5,12,0
3,-4,12,0
3,-3,13,0
3,-2,13,0
3,-1,13,0
5,-7,9,0
5,-6,10,0
5,-5,11,0
5,-4,11,0
5,-3,12,0
5,-2,12,0
5,-1,12,0
7,-7,12,0
7,-6,12,0
7,-5,13,0
7,-4,13,0
7,-3,15,0
7,-2,16,0
7,-1,16,0
