Specialty,Day,BedsAvailable,BedsUsed
1,1,4,4
1,2,7,6
1,3,7,7
1,4,9,9
1,5,12,9
3,1,6,4
3,2,8,7
3,3,9,9
3,4,11,11
3,5,12,11
5,1,11,4
5,2,11,6
5,3,11,6
5,4,11,7
5,5,12,6
7,1,14,7
7,2,15,8
7,3,15,9
7,4,17,11
7,5,18,10
1,6,15,7
3,6,13,10
5,6,12,5
7,6,18,9
1,7,15,6
3,7,13,9
5,7,12,4
7,7,18,8
1,8,15,4
1,9,15,4
1,10,15,3
1,11,15,2
1,12,15,0
1,13,15,0
1,14,15,0
3,8,13,8
3,9,13,6
3,10,13,5
3,11,13,3
3,12,13,3
3,13,13,0
3,14,13,0
5,8,12,3
5,9,12,1
5,10,12,1
5,11,12,1
5,12,12,1
5,13,12,0
5,14,12,0
7,8,18,8
7,9,18,5
7,10,18,4
7,11,18,3
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,2,0
1,-2,3,2
1,-1,3,3
3,-7,1,0
3,-6,1,0
3,-5,0,0
3,-4,0,0
3,-3,2,0
3,-2,4,0
3,-1,5,2
5,-7,7,0
5,-6,7,0
5,-5,7,0
5,-4,8,0
5,-3,8,0
5,-2,11,0
5,-1,11,1
7,-7,7,0
7,-6,7,0
7,-5,5,0
7,-4,6,0
7,-3,7,0
7,-2,9,0
7,-1,13,1
