Specialty,Day,BedsAvailable,BedsUsed
1,1,11,10
1,2,11,10
1,3,12,12
1,4,13,13
1,5,15,12
1,6,15,11
1,7,15,11
3,1,5,5
3,2,7,6
3,3,8,8
3,4,10,10
3,5,10,10
3,6,13,10
3,7,13,9
5,1,9,9
5,2,11,10
5,3,11,11
5,4,11,8
5,5,11,8
5,6,12,7
5,7,12,7
7,1,10,10
7,2,13,11
7,3,14,13
7,4,15,11
7,5,18,9
7,6,18,9
7,7,18,8
1,8,15,11
1,9,15,7
1,10,15,5
1,11,15,4
1,12,15,3
1,13,15,0
1,14,15,0
3,8,13,7
3,9,13,5
3,10,13,3
3,11,13,1
3,12,13,1
3,13,13,0
3,14,13,0
5,8,12,6
5,9,12,4
5,10,12,4
5,11,12,1
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,7
7,9,18,6
7,10,18,1
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,1,0
1,-5,0,0
1,-4,0,0
1,-3,3,0
3,-7,2,0
3,-6,1,0
3,-5,0,0
3,-4,0,0
3,-3,1,0
5,-7,7,0
5,-6,5,0
5,-5,5,0
5,-4,4,0
5,-3,6,0
7,-7,7,0
7,-6,7,0
7,-5,6,0
7,-4,6,0
7,-3,8,0
1,-2,8,6
3,-2,3,0
5,-2,7,2
7,-2,9,3
1,-1,9,8
3,-1,4,1
5,-1,8,3
7,-1,10,4
