Specialty,Day,BedsAvailable,BedsUsed
1,1,10,10
1,2,11,11
1,3,11,11
1,4,13,13
1,5,15,13
1,6,15,13
1,7,15,12
3,1,1,1
3,2,3,2
3,3,6,6
3,4,10,10
3,5,12,10
3,6,13,10
3,7,13,10
5,1,10,5
5,2,10,7
5,3,11,9
5,4,12,9
5,5,12,7
5,6,12,4
5,7,12,3
7,1,14,10
7,2,14,12
7,3,15,12
7,4,15,11
7,5,16,11
7,6,18,9
7,7,18,8
1,8,15,11
1,9,15,8
1,10,15,8
1,11,15,4
1,12,15,3
1,13,15,0
1,14,15,0
3,8,13,7
3,9,13,5
3,10,13,5
3,11,13,3
3,12,13,1
3,13,13,0
3,14,13,0
5,8,12,2
5,9,12,2
5,10,12,2
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,7
7,9,18,5
7,10,18,4
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,3,3
1,-2,5,5
1,-1,6,6
3,-7,0,0
3,-6,1,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,0,0
3,-1,0,0
5,-7,9,0
5,-6,9,0
5,-5,9,0
5,-4,8,0
5,-3,8,0
5,-2,8,0
5,-1,8,2
7,-7,11,0
7,-6,10,0
7,-5,11,0
7,-4,11,0
7,-3,12,0
7,-2,12,2
7,-1,13,6
