Specialty,Day,BedsAvailable,BedsUsed
2,1,5,5
2,2,5,5
2,3,5,5
2,4,5,5
2,5,5,5
2,6,5,5
2,7,5,5
3,1,15,10
3,2,19,19
3,3,20,19
3,4,23,19
3,5,25,19
3,6,28,19
3,7,28,19
1,1,7,1
1,2,7,1
1,3,14,1
1,4,14,10
1,5,14,10
1,6,15,10
1,7,15,10
4,1,19,19
4,2,19,19
4,3,19,19
4,4,19,19
4,5,20,19
4,6,20,19
4,7,20,19
2,8,5,5
2,9,5,5
2,10,5,2
2,11,5,0
2,12,5,0
2,13,5,0
2,14,5,0
3,8,28,19
3,9,28,17
3,10,28,14
3,11,28,11
3,12,28,9
3,13,28,0
3,14,28,0
1,8,15,9
1,9,15,9
1,10,15,9
1,11,15,9
1,12,15,9
1,13,15,0
1,14,15,0
4,8,20,19
4,9,20,13
4,10,20,11
4,11,20,11
4,12,20,5
4,13,20,0
4,14,20,0
2,-7,0,0
2,-6,0,0
2,-5,5,0
2,-4,5,0
2,-3,5,0
2,-2,5,0
2,-1,5,0
3,-7,0,0
3,-6,0,0
3,-5,5,0
3,-4,6,0
3,-3,7,0
3,-2,15,2
3,-1,15,5
1,-7,1,0
1,-6,1,0
1,-5,1,0
1,-4,0,0
1,-3,1,0
1,-2,7,0
1,-1,7,0
4,-7,0,0
4,-6,7,0
4,-5,8,6
4,-4,8,8
4,-3,13,8
4,-2,19,14
4,-1,19,19
