Specialty,Day,BedsAvailable,BedsUsed
1,1,6,6
1,2,7,7
1,3,8,8
1,4,12,12
1,5,14,12
1,6,15,12
1,7,15,12
3,1,8,5
3,2,10,10
3,3,11,11
3,4,11,11
3,5,12,11
3,6,13,11
3,7,13,11
5,1,9,4
5,2,10,5
5,3,11,4
5,4,11,4
5,5,12,4
5,6,12,3
5,7,12,3
7,1,17,5
7,2,17,5
7,3,17,7
7,4,18,6
7,5,18,6
7,6,18,6
7,7,18,6
1,8,15,9
1,9,15,8
1,10,15,5
1,11,15,5
1,12,15,2
1,13,15,0
1,14,15,0
3,8,13,10
3,9,13,7
3,10,13,1
3,11,13,0
3,12,13,0
3,13,13,0
3,14,13,0
5,8,12,1
5,9,12,0
5,10,12,0
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,4
7,9,18,3
7,10,18,1
7,11,18,1
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,3,2
1,-2,5,4
1,-1,6,5
3,-7,1,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,3,0
3,-2,7,0
3,-1,7,2
5,-7,10,0
5,-6,10,0
5,-5,7,0
5,-4,7,0
5,-3,7,0
5,-2,8,0
5,-1,8,2
7,-7,13,0
7,-6,12,0
7,-5,16,0
7,-4,16,0
7,-3,16,0
7,-2,16,1
7,-1,17,2
