Specialty,Day,BedsAvailable,BedsUsed
1,1,8,8
1,2,10,10
1,3,14,14
1,4,14,14
1,5,14,14
1,6,15,13
1,7,15,11
3,1,4,4
3,2,7,7
3,3,9,9
3,4,10,10
3,5,11,10
3,6,13,10
3,7,13,10
5,1,11,4
5,2,11,5
5,3,11,5
5,4,11,5
5,5,12,4
5,6,12,3
5,7,12,3
7,1,16,12
7,2,16,13
7,3,17,12
7,4,18,12
7,5,18,8
7,6,18,6
7,7,18,4
1,8,15,10
1,9,15,9
1,10,15,5
1,11,15,2
1,12,15,0
1,13,15,0
1,14,15,0
3,8,13,10
3,9,13,9
3,10,13,8
3,11,13,2
3,12,13,1
3,13,13,0
3,14,13,0
5,8,12,3
5,9,12,2
5,10,12,1
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,3
7,9,18,0
7,10,18,0
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,1,1
1,-2,4,4
1,-1,8,8
3,-7,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,2,0
3,-2,3,0
3,-1,4,2
5,-7,7,0
5,-6,7,0
5,-5,6,0
5,-4,8,0
5,-3,9,0
5,-2,10,0
5,-1,10,0
7,-7,4,0
7,-6,4,0
7,-5,5,0
7,-4,12,0
7,-3,13,0
7,-2,14,5
7,-1,16,9
