Specialty,Day,BedsAvailable,BedsUsed
1,1,6,6
1,2,7,7
1,3,10,10
1,4,10,10
1,5,13,10
1,6,15,10
1,7,15,9
3,1,3,3
3,2,6,5
3,3,12,12
3,4,13,13
3,5,13,13
3,6,13,13
3,7,13,13
5,1,11,2
5,2,12,3
5,3,12,3
5,4,12,4
5,5,12,4
5,6,12,4
5,7,12,4
7,1,14,3
7,2,15,5
7,3,17,6
7,4,17,6
7,5,18,6
7,6,18,6
7,7,18,5
1,8,15,5
1,9,15,4
1,10,15,4
1,11,15,2
1,12,15,0
1,13,15,0
1,14,15,0
3,8,13,12
3,9,13,10
3,10,13,7
3,11,13,3
3,12,13,1
3,13,13,0
3,14,13,0
5,8,12,2
5,9,12,2
5,10,12,1
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,4
7,9,18,4
7,10,18,3
7,11,18,3
7,12,18,2
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,2,2
1,-2,3,2
1,-1,3,3
3,-7,3,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,1,0
3,-2,2,0
3,-1,2,1
5,-7,5,0
5,-6,5,0
5,-5,7,0
5,-4,7,0
5,-3,8,0
5,-2,9,1
5,-1,9,1
7,-7,12,0
7,-6,12,0
7,-5,10,0
7,-4,12,0
7,-3,12,0
7,-2,12,1
7,-1,12,1
