Specialty,Day,BedsAvailable,BedsUsed
1,1,6,6
1,2,6,6
1,3,10,10
1,4,15,15
1,5,15,15
1,6,15,13
1,7,15,12
3,1,6,6
3,2,9,9
3,3,10,10
3,4,11,11
3,5,12,11
3,6,13,11
3,7,13,11
5,1,7,2
5,2,9,2
5,3,11,2
5,4,12,2
5,5,12,2
5,6,12,1
5,7,12,1
7,1,11,1
7,2,14,2
7,3,16,3
7,4,17,3
7,5,17,3
7,6,18,3
7,7,18,2
1,8,15,8
1,9,15,7
1,10,15,3
1,11,15,2
1,12,15,1
1,13,15,0
1,14,15,0
3,8,13,9
3,9,13,5
3,10,13,2
3,11,13,2
3,12,13,1
3,13,13,0
3,14,13,0
5,8,12,0
5,9,12,0
5,10,12,0
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,2
7,9,18,1
7,10,18,0
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,1,0
1,-2,5,4
1,-1,6,5
3,-7,0,0
3,-6,0,0
3,-5,0,0
3,-4,2,0
3,-3,3,0
3,-2,4,0
3,-1,4,3
5,-7,0,0
5,-6,0,0
5,-5,0,0
5,-4,1,0
5,-3,4,0
5,-2,4,0
5,-1,5,1
7,-7,3,0
7,-6,1,0
7,-5,5,0
7,-4,6,0
7,-3,7,0
7,-2,8,0
7,-1,9,0
