Specialty,Day,BedsAvailable,BedsUsed
2,1,0,0
2,2,0,0
2,3,4,0
2,4,5,0
2,5,5,0
2,6,5,0
2,7,5,0
3,1,9,8
3,2,14,14
3,3,16,14
3,4,19,14
3,5,20,14
3,6,28,14
3,7,28,14
1,1,10,0
1,2,10,0
1,3,10,0
1,4,10,5
1,5,11,5
1,6,15,5
1,7,15,5
4,1,1,1
4,2,5,1
4,3,9,1
4,4,9,1
4,5,13,1
4,6,20,1
4,7,20,1
2,8,5,0
2,9,5,0
2,10,5,0
2,11,5,0
2,12,5,0
2,13,5,0
2,14,5,0
3,8,28,14
3,9,28,8
3,10,28,8
3,11,28,8
3,12,28,6
3,13,28,0
3,14,28,0
1,8,15,5
1,9,15,5
1,10,15,5
1,11,15,5
1,12,15,4
1,13,15,0
1,14,15,0
4,8,20,1
4,9,20,1
4,10,20,1
4,11,20,1
4,12,20,0
4,13,20,0
4,14,20,0
2,-7,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,0,0
3,-7,4,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,2,0
3,-2,9,6
3,-1,9,6
1,-7,6,0
1,-6,7,0
1,-5,7,0
1,-4,2,0
1,-3,2,0
1,-2,10,0
1,-1,10,0
4,-7,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,1,0
4,-2,1,1
4,-1,1,1
