Specialty,Day,BedsAvailable,BedsUsed
1,1,8,8
1,2,9,9
1,3,12,12
1,4,12,12
1,5,13,12
1,6,13,11
1,7,13,10
1,8,13,10
1,9,13,10
1,10,14,10
1,11,15,8
1,12,15,3
1,13,15,0
1,14,15,0
3,1,5,4
3,2,6,5
3,3,8,7
3,4,9,9
3,5,10,10
3,6,11,10
3,7,11,10
3,8,12,9
3,9,12,8
3,10,13,6
3,11,13,6
3,12,13,5
3,13,13,0
3,14,13,0
5,1,7,5
5,2,8,5
5,3,8,5
5,4,8,5
5,5,8,5
5,6,8,5
5,7,8,4
5,8,8,3
5,9,10,2
5,10,10,1
5,11,10,1
5,12,10,0
5,13,11,0
5,14,11,0
7,1,12,12
7,2,15,14
7,3,15,15
7,4,15,14
7,5,16,14
7,6,16,12
7,7,16,12
7,8,16,8
7,9,16,4
7,10,16,3
7,11,16,1
7,12,16,1
7,13,17,0
7,14,17,0
1,-7,11,0
1,-6,11,0
1,-5,7,0
1,-4,3,1
1,-3,5,3
1,-2,5,4
1,-1,5,5
3,-7,11,0
3,-6,10,0
3,-5,8,0
3,-4,5,0
3,-3,6,0
3,-2,7,0
3,-1,5,1
5,-7,9,0
5,-6,9,0
5,-5,7,0
5,-4,5,0
5,-3,4,0
5,-2,4,0
5,-1,6,1
7,-7,11,0
7,-6,9,0
7,-5,6,0
7,-4,2,0
7,-3,3,0
7,-2,8,2
7,-1,10,7
