Specialty,Day,BedsAvailable,BedsUsed
1,1,6,6
1,2,8,8
1,3,9,9
1,4,10,9
1,5,13,9
1,6,15,9
1,7,15,8
3,1,10,0
3,2,11,0
3,3,12,0
3,4,12,0
3,5,13,0
3,6,13,0
3,7,13,0
5,1,9,0
5,2,10,0
5,3,11,0
5,4,11,0
5,5,12,0
5,6,12,0
5,7,12,0
7,1,15,3
7,2,15,3
7,3,16,3
7,4,16,3
7,5,18,3
7,6,18,2
7,7,18,2
1,8,15,5
1,9,15,2
1,10,15,2
1,11,15,1
1,12,15,0
1,13,15,0
1,14,15,0
3,8,13,0
3,9,13,0
3,10,13,0
3,11,13,0
3,12,13,0
3,13,13,0
3,14,13,0
5,8,12,0
5,9,12,0
5,10,12,0
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,2
7,9,18,1
7,10,18,1
7,11,18,1
7,12,18,1
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,0,0
1,-2,2,2
1,-1,4,4
3,-7,4,0
3,-6,3,0
3,-5,3,0
3,-4,6,0
3,-3,7,0
3,-2,7,0
3,-1,8,0
5,-7,7,0
5,-6,7,0
5,-5,6,0
5,-4,6,0
5,-3,6,0
5,-2,6,0
5,-1,7,0
7,-7,8,0
7,-6,5,0
7,-5,3,0
7,-4,3,0
7,-3,7,0
7,-2,10,1
7,-1,14,1
