Specialty,Day,BedsAvailable,BedsUsed
2,1,5,5
2,2,5,5
2,3,5,5
2,4,5,5
2,5,5,5
2,6,5,5
2,7,5,5
3,1,18,12
3,2,20,20
3,3,20,20
3,4,20,20
3,5,20,20
3,6,28,20
3,7,28,20
1,1,8,1
1,2,8,1
1,3,8,1
1,4,8,1
1,5,9,1
1,6,15,1
1,7,15,1
4,1,19,3
4,2,19,3
4,3,19,3
4,4,19,3
4,5,19,3
4,6,20,3
4,7,20,3
2,8,5,5
2,9,5,5
2,10,5,0
2,11,5,0
2,12,5,0
2,13,5,0
2,14,5,0
3,8,28,20
3,9,28,15
3,10,28,14
3,11,28,10
3,12,28,8
3,13,28,0
3,14,28,0
1,8,15,1
1,9,15,0
1,10,15,0
1,11,15,0
1,12,15,0
1,13,15,0
1,14,15,0
4,8,20,3
4,9,20,3
4,10,20,2
4,11,20,2
4,12,20,0
4,13,20,0
4,14,20,0
2,-7,0,0
2,-6,0,0
2,-5,5,0
2,-4,5,0
2,-3,5,0
2,-2,5,0
2,-1,5,0
3,-7,5,0
3,-6,0,0
3,-5,3,0
3,-4,4,0
3,-3,7,0
3,-2,18,5
3,-1,18,6
1,-7,15,0
1,-6,15,0
1,-5,15,0
1,-4,8,0
1,-3,8,0
1,-2,8,0
1,-1,8,0
4,-7,0,0
4,-6,7,0
4,-5,8,0
4,-4,8,1
4,-3,11,1
4,-2,19,3
4,-1,19,3
