Specialty,Day,BedsAvailable,BedsUsed
1,1,10,5
1,2,13,5
1,3,13,5
1,4,14,5
1,5,15,5
1,6,15,4
1,7,15,4
3,1,10,5
3,2,12,6
3,3,12,6
3,4,13,6
3,5,13,6
3,6,13,5
3,7,13,3
5,1,12,1
5,2,12,1
5,3,12,1
5,4,12,1
5,5,12,1
5,6,12,1
5,7,12,1
7,1,16,1
7,2,17,1
7,3,17,2
7,4,18,1
7,5,18,1
7,6,18,1
7,7,18,1
1,8,15,3
1,9,15,3
1,10,15,3
1,11,15,2
1,12,15,2
1,13,15,0
1,14,15,0
3,8,13,2
3,9,13,1
3,10,13,1
3,11,13,0
3,12,13,0
3,13,13,0
3,14,13,0
5,8,12,1
5,9,12,0
5,10,12,0
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,0
7,9,18,0
7,10,18,0
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,4,3
1,-4,5,5
1,-3,7,5
1,-2,8,5
1,-1,9,5
3,-7,0,0
3,-6,1,0
3,-5,2,0
3,-4,2,0
3,-3,5,0
3,-2,7,0
3,-1,8,1
5,-7,9,0
5,-6,9,0
5,-5,10,0
5,-4,11,0
5,-3,12,0
5,-2,12,0
5,-1,12,1
7,-7,15,0
7,-6,14,0
7,-5,14,0
7,-4,15,0
7,-3,16,0
7,-2,16,0
7,-1,16,1
