Specialty,Day,BedsAvailable,BedsUsed
2,1,0,0
2,2,0,0
2,3,3,0
2,4,5,0
2,5,5,0
2,6,5,0
2,7,5,0
3,1,14,14
3,2,23,23
3,3,23,23
3,4,23,23
3,5,23,23
3,6,28,23
3,7,28,23
1,1,8,0
1,2,8,0
1,3,10,0
1,4,10,6
1,5,11,6
1,6,15,6
1,7,15,6
4,1,10,10
4,2,13,10
4,3,17,10
4,4,17,10
4,5,18,10
4,6,20,10
4,7,20,10
2,8,5,0
2,9,5,0
2,10,5,0
2,11,5,0
2,12,5,0
2,13,5,0
2,14,5,0
3,8,28,23
3,9,28,13
3,10,28,10
3,11,28,10
3,12,28,9
3,13,28,0
3,14,28,0
1,8,15,6
1,9,15,6
1,10,15,6
1,11,15,6
1,12,15,6
1,13,15,0
1,14,15,0
4,8,20,10
4,9,20,5
4,10,20,3
4,11,20,3
4,12,20,3
4,13,20,0
4,14,20,0
2,-7,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,0,0
3,-7,3,0
3,-6,0,0
3,-5,5,0
3,-4,9,0
3,-3,10,0
3,-2,14,10
3,-1,14,13
1,-7,0,0
1,-6,2,0
1,-5,5,0
1,-4,0,0
1,-3,1,0
1,-2,8,0
1,-1,8,0
4,-7,9,0
4,-6,9,0
4,-5,10,4
4,-4,10,7
4,-3,10,7
4,-2,10,7
4,-1,10,10
