Specialty,Day,BedsAvailable,BedsUsed
1,1,7,7
1,2,8,8
1,3,12,12
1,4,13,13
1,5,14,13
1,6,15,13
1,7,15,10
3,1,4,4
3,2,8,5
3,3,11,11
3,4,11,11
3,5,12,11
3,6,13,11
3,7,13,10
5,1,12,2
5,2,12,4
5,3,12,5
5,4,12,5
5,5,12,5
5,6,12,3
5,7,12,3
7,1,16,4
7,2,17,6
7,3,18,5
7,4,18,5
7,5,18,4
7,6,18,3
7,7,18,1
1,8,15,9
1,9,15,8
1,10,15,3
1,11,15,2
1,12,15,0
1,13,15,0
1,14,15,0
3,8,13,9
3,9,13,9
3,10,13,7
3,11,13,7
3,12,13,4
3,13,13,0
3,14,13,0
5,8,12,3
5,9,12,2
5,10,12,1
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,1
7,9,18,0
7,10,18,0
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,0,0
1,-2,2,2
1,-1,3,3
3,-7,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,1,0
3,-2,2,0
3,-1,2,2
5,-7,5,0
5,-6,7,0
5,-5,9,0
5,-4,10,0
5,-3,10,0
5,-2,11,0
5,-1,11,0
7,-7,10,0
7,-6,12,0
7,-5,13,0
7,-4,14,0
7,-3,14,0
7,-2,15,0
7,-1,16,2
