Specialty,Day,BedsAvailable,BedsUsed
2,1,0,0
2,2,0,0
2,3,1,0
2,4,5,0
2,5,5,0
2,6,5,0
2,7,5,0
3,1,2,2
3,2,10,10
3,3,12,10
3,4,15,10
3,5,18,10
3,6,27,10
3,7,27,10
1,1,2,2
1,2,5,2
1,3,7,2
1,4,7,7
1,5,7,7
1,6,15,7
1,7,15,7
4,1,1,1
4,2,9,1
4,3,11,1
4,4,11,1
4,5,17,1
4,6,20,1
4,7,20,1
2,8,5,0
2,9,5,0
2,10,5,0
2,11,5,0
2,12,5,0
2,13,5,0
2,14,5,0
3,8,27,10
3,9,27,10
3,10,27,9
3,11,27,8
3,12,27,8
3,13,27,0
3,14,27,0
1,8,15,7
1,9,15,6
1,10,15,5
1,11,15,5
1,12,15,5
1,13,15,0
1,14,15,0
4,8,20,1
4,9,20,1
4,10,20,1
4,11,20,1
4,12,20,0
4,13,20,0
4,14,20,0
3,14,28,0
2,-7,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,0,0
3,-7,0,0
3,-6,1,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,1,0
3,-1,2,1
1,-7,1,0
1,-6,2,0
1,-5,4,0
1,-4,0,0
1,-3,0,0
1,-2,1,0
1,-1,1,0
4,-7,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,0,0
4,-2,1,0
4,-1,1,1
