Specialty,Day,BedsAvailable,BedsUsed
2,1,5,5
2,2,5,5
2,3,5,5
2,4,5,5
2,5,5,5
2,6,5,5
2,7,5,5
3,1,28,5
3,2,28,9
3,3,28,9
3,4,28,9
3,5,28,9
3,6,28,9
3,7,28,9
1,1,15,0
1,2,15,0
1,3,15,0
1,4,15,5
1,5,15,5
1,6,15,5
1,7,15,5
4,1,20,6
4,2,20,6
4,3,20,6
4,4,20,6
4,5,20,6
4,6,20,6
4,7,20,6
3,1,27,5
3,2,27,9
3,3,27,9
3,4,27,9
3,5,27,9
3,6,27,9
3,1,15,5
3,2,18,9
3,3,20,9
3,4,22,9
3,5,25,9
3,7,27,9
1,1,13,0
1,2,14,0
4,1,19,6
3,1,7,5
3,2,9,9
3,3,9,9
3,4,12,9
3,5,13,9
3,6,14,9
3,7,15,9
1,1,6,0
1,2,7,0
1,3,9,0
1,4,10,5
1,5,11,5
1,6,12,5
1,7,12,5
4,1,15,6
4,2,15,6
4,3,16,6
4,4,18,6
4,5,18,6
4,6,19,6
4,7,19,6
2,-7,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,0,0
3,-7,21,0
3,-6,19,0
3,-5,19,0
3,-4,19,0
3,-3,19,0
3,-2,19,5
3,-1,19,5
1,-7,14,0
1,-6,14,0
1,-5,14,0
1,-4,11,0
1,-3,11,0
1,-2,11,0
1,-1,11,0
4,-7,17,0
4,-6,17,0
4,-5,17,3
4,-4,17,3
4,-3,17,3
4,-2,17,4
4,-1,17,6
3,-7,20,0
3,-6,18,0
3,-5,18,0
3,-4,18,0
3,-3,18,0
3,-2,18,5
3,-7,8,0
3,-6,9,0
3,-5,11,0
3,-4,13,0
3,-3,16,0
3,-1,18,5
1,-7,12,0
1,-6,13,0
4,-7,16,0
3,-7,0,0
3,-6,0,0
3,-5,0,0
3,-4,3,0
3,-3,4,0
3,-2,5,5
3,-1,6,5
1,-7,5,0
1,-6,6,0
1,-5,8,0
1,-4,6,0
1,-3,7,0
1,-2,8,0
1,-1,8,0
4,-7,12,0
4,-6,12,0
4,-5,13,3
4,-4,15,3
4,-3,15,3
4,-2,16,4
4,-1,16,6
