Specialty,Day,BedsAvailable,BedsUsed
1,1,14,14
1,2,15,15
1,3,15,15
1,4,15,15
1,5,15,14
1,6,15,13
1,7,15,12
3,1,13,9
3,2,13,10
3,3,13,12
3,4,13,13
3,5,13,13
3,6,13,13
3,7,13,10
5,1,12,0
5,2,12,0
5,3,12,0
5,4,12,0
5,5,12,0
5,6,12,0
5,7,12,0
7,1,18,1
7,2,18,2
7,3,18,4
7,4,18,4
7,5,18,4
7,6,18,4
7,7,18,3
1,8,15,11
1,9,15,10
1,10,15,6
1,11,15,4
1,12,15,4
1,13,15,0
1,14,15,0
3,8,13,8
3,9,13,5
3,10,13,3
3,11,13,1
3,12,13,0
3,13,13,0
3,14,13,0
5,8,12,0
5,9,12,0
5,10,12,0
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,3
7,9,18,2
7,10,18,2
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,4,3
1,-4,7,6
1,-3,9,6
1,-2,9,9
1,-1,11,11
3,-7,3,0
3,-6,4,0
3,-5,5,0
3,-4,11,0
3,-3,12,0
3,-2,13,0
3,-1,13,1
5,-7,9,0
5,-6,10,0
5,-5,11,0
5,-4,12,0
5,-3,12,0
5,-2,12,0
5,-1,12,0
7,-7,15,0
7,-6,18,0
7,-5,18,0
7,-4,18,0
7,-3,18,0
7,-2,18,0
7,-1,18,1
