Specialty,Day,BedsAvailable,BedsUsed
2,1,5,5
2,2,5,5
2,3,5,5
2,4,5,5
2,5,5,5
2,6,5,5
2,7,5,5
3,1,17,11
3,2,17,17
3,3,18,17
3,4,19,17
3,5,19,17
3,6,27,17
3,7,27,17
1,1,8,0
1,2,9,0
1,3,10,0
1,4,10,7
1,5,10,7
1,6,15,7
1,7,15,7
4,1,19,19
4,2,19,19
4,3,19,19
4,4,19,19
4,5,20,19
4,6,20,19
4,7,20,19
3,7,28,17
2,8,5,5
2,9,5,5
2,10,5,2
2,11,5,0
2,12,5,0
3,8,27,17
3,9,27,14
3,10,27,11
3,11,27,10
3,12,27,6
1,8,15,7
1,9,15,7
1,10,15,7
1,11,15,7
1,12,15,7
4,8,20,19
4,9,20,16
4,10,20,11
4,11,20,11
4,12,20,4
3,12,28,6
2,13,5,0
3,13,28,0
1,13,15,0
4,13,20,0
2,14,5,0
3,14,28,0
1,14,15,0
4,14,20,0
2,-7,0,0
2,-6,0,0
2,-5,1,0
2,-4,5,0
2,-3,5,0
2,-2,5,0
2,-1,5,0
3,-7,0,0
3,-6,0,0
3,-5,2,0
3,-4,5,0
3,-3,8,0
3,-2,17,3
3,-1,17,6
1,-7,0,0
1,-6,3,0
1,-5,5,0
1,-4,0,0
1,-3,0,0
1,-2,8,0
1,-1,8,0
4,-7,0,0
4,-6,8,0
4,-5,10,3
4,-4,10,8
4,-3,16,8
4,-2,19,14
4,-1,19,19
