Specialty,Day,BedsAvailable,BedsUsed
1,1,3,3
1,2,3,3
1,3,4,4
1,4,7,7
1,5,12,7
1,6,15,6
1,7,15,6
3,1,3,3
3,2,4,4
3,3,7,6
3,4,7,7
3,5,8,7
3,6,13,7
3,7,13,6
5,1,5,5
5,2,8,6
5,3,9,6
5,4,9,6
5,5,10,6
5,6,11,6
5,7,11,3
7,1,8,2
7,2,12,4
7,3,13,4
7,4,15,4
7,5,15,4
7,6,17,4
7,7,17,4
1,8,15,5
1,9,15,4
1,10,15,2
1,11,15,2
1,12,15,1
1,13,15,0
1,14,15,0
3,8,13,5
3,9,13,5
3,10,13,4
3,11,13,3
3,12,13,1
3,13,13,0
3,14,13,0
5,8,11,2
5,9,12,1
5,10,12,1
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,17,3
7,9,17,1
7,10,17,1
7,11,17,1
7,12,17,0
7,13,17,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,1,1
1,-2,2,1
1,-1,3,1
3,-7,1,0
3,-6,1,0
3,-5,1,0
3,-4,0,0
3,-3,0,0
3,-2,1,0
3,-1,1,1
5,-7,2,0
5,-6,3,0
5,-5,3,0
5,-4,3,0
5,-3,3,0
5,-2,3,3
5,-1,4,3
7,-7,0,0
7,-6,1,0
7,-5,0,0
7,-4,1,0
7,-3,2,0
7,-2,4,0
7,-1,4,1
