Specialty,Day,BedsAvailable,BedsUsed
1,1,5,5
1,2,7,7
1,3,10,8
1,4,11,9
1,5,13,9
1,6,15,9
1,7,15,9
3,1,4,4
3,2,5,5
3,3,7,7
3,4,10,10
3,5,10,8
3,6,13,7
3,7,13,7
5,1,11,5
5,2,11,6
5,3,11,5
5,4,11,4
5,5,11,4
5,6,12,4
5,7,12,2
7,1,13,5
7,2,14,6
7,3,15,4
7,4,17,4
7,5,17,3
7,6,18,2
7,7,18,2
1,8,15,8
1,9,15,7
1,10,15,3
1,11,15,2
1,12,15,0
1,13,15,0
1,14,15,0
3,8,13,7
3,9,13,5
3,10,13,3
3,11,13,3
3,12,13,2
3,13,13,0
3,14,13,0
5,8,12,2
5,9,12,2
5,10,12,1
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,2
7,9,18,2
7,10,18,2
7,11,18,1
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,1,0
1,-4,0,0
1,-3,2,1
1,-2,3,3
1,-1,3,3
3,-7,0,0
3,-6,2,0
3,-5,0,0
3,-4,0,0
3,-3,2,0
3,-2,4,0
3,-1,4,0
5,-7,5,0
5,-6,9,0
5,-5,10,0
5,-4,11,0
5,-3,11,0
5,-2,11,0
5,-1,11,1
7,-7,6,0
7,-6,8,0
7,-5,10,0
7,-4,10,0
7,-3,12,0
7,-2,12,1
7,-1,12,1
