Specialty,Day,BedsAvailable,BedsUsed
2,1,0,0
2,2,0,0
2,3,5,0
2,4,5,0
2,5,5,0
2,6,5,0
2,7,5,0
3,1,8,3
3,2,13,13
3,3,14,13
3,4,18,13
3,5,20,13
3,6,28,13
3,7,28,13
1,1,14,2
1,2,15,2
1,3,15,2
1,4,15,11
1,5,15,11
1,6,15,11
1,7,15,11
4,1,17,17
4,2,17,17
4,3,18,17
4,4,18,17
4,5,20,17
4,6,20,17
4,7,20,17
2,8,5,0
2,9,5,0
2,10,5,0
2,11,5,0
2,12,5,0
2,13,5,0
2,14,5,0
3,8,28,13
3,9,28,10
3,10,28,10
3,11,28,10
3,12,28,10
3,13,28,0
3,14,28,0
1,8,15,11
1,9,15,9
1,10,15,9
1,11,15,9
1,12,15,9
1,13,15,0
1,14,15,0
4,8,20,17
4,9,20,14
4,10,20,11
4,11,20,10
4,12,20,5
4,13,20,0
4,14,20,0
2,-7,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,0,0
3,-7,6,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,8,3
3,-1,8,3
1,-7,7,0
1,-6,7,0
1,-5,7,0
1,-4,7,0
1,-3,8,0
1,-2,14,0
1,-1,14,0
4,-7,16,0
4,-6,16,0
4,-5,16,3
4,-4,16,6
4,-3,16,6
4,-2,17,12
4,-1,17,17
